MatchNumber,DateUTC,Stage,StageDetail,Group,Home,Away,HostAdvantage,HomeTeamScore,AwayTeamScore,Played,PlaceHolderA,PlaceHolderB,Winner
90,2026-07-04T17:00:00Z,Round16,Round of 16,,Canada,Morocco,1,,,False,W73,W75,
91,2026-07-05T20:00:00Z,Round16,Round of 16,,Brazil,Norway,0,,,False,W76,W78,
92,2026-07-06T00:00:00Z,Round16,Round of 16,,TBD,TBD,0,,,False,W79,W80,
93,2026-07-06T19:00:00Z,Round16,Round of 16,,TBD,TBD,0,,,False,W83,W84,
94,2026-07-07T00:00:00Z,Round16,Round of 16,,TBD,TBD,0,,,False,W81,W82,
95,2026-07-07T16:00:00Z,Round16,Round of 16,,TBD,TBD,0,,,False,W86,W88,
96,2026-07-07T20:00:00Z,Round16,Round of 16,,TBD,TBD,0,,,False,W85,W87,
97,2026-07-09T20:00:00Z,QuarterFinal,Quarter-final,,TBD,TBD,0,,,False,W89,W90,
98,2026-07-10T19:00:00Z,QuarterFinal,Quarter-final,,TBD,TBD,0,,,False,W93,W94,
99,2026-07-11T21:00:00Z,QuarterFinal,Quarter-final,,TBD,TBD,0,,,False,W91,W92,
100,2026-07-12T01:00:00Z,QuarterFinal,Quarter-final,,TBD,TBD,0,,,False,W95,W96,
101,2026-07-14T19:00:00Z,SemiFinal,Semi-final,,TBD,TBD,0,,,False,W97,W98,
102,2026-07-15T19:00:00Z,SemiFinal,Semi-final,,TBD,TBD,0,,,False,W99,W100,
103,2026-07-18T21:00:00Z,ThirdPlace,Play-off for third place,,TBD,TBD,0,,,False,RU101,RU102,
104,2026-07-19T19:00:00Z,Final,Final,,TBD,TBD,0,,,False,W101,W102,
